population_size,mutation_rate,crossover_rate,n_generations,avg_score,std_score,best_score,worst_score,avg_runtime_s,conv_25pct,conv_50pct,conv_75pct,conv_100pct
20,0.01,0.6,50,5795.2,131.84,6077,5605,4.71,5194.5,5519.1,5683.4,5789.9
20,0.01,0.6,100,5885,114.7,6042,5667,17.841,5493.2,5724.8,5822.2,5882.6
20,0.01,0.6,200,6086.4,108.45,6290,5938,17.913,5878,6008.9,6065.5,6086.4
20,0.01,0.8,50,5835.9,117.44,5984,5671,4.539,5378.9,5606.2,5778.6,5832.4
20,0.01,0.8,100,5996.7,182.81,6291,5713,9.017,5613.9,5850.2,5949.9,5996.7
20,0.01,0.8,200,6050.1,179.99,6346,5776,18.001,5897.8,6013.3,6036.5,6050.1
20,0.01,1.0,50,5748,229.27,6153,5484,4.596,5305.4,5574.6,5701.2,5746.5
20,0.01,1.0,100,5947.4,175.3,6392,5755,8.876,5648,5832.2,5889,5946.2
20,0.01,1.0,200,5967.6,154.18,6183,5658,18.867,5847.8,5923.4,5958.1,5967.6
20,0.05,0.6,50,5863.8,165.56,6105,5656,4.471,5334.7,5608.7,5771,5858.1
20,0.05,0.6,100,6131.8,159.34,6318,5818,8.951,5639.3,5915.6,6071.2,6126.4
20,0.05,0.6,200,6175.3,151.14,6392,5894,17.852,5943.5,6098.8,6144.4,6175.3
20,0.05,0.8,50,5892.6,136.85,6051,5666,4.579,5409.2,5655,5793,5888.4
20,0.05,0.8,100,6146.9,70.4,6234,6038,8.851,5697.5,5964.2,6065.7,6143.7
20,0.05,0.8,200,6158.9,166.26,6378,5910,17.752,5796.3,6015.5,6120.5,6158.9
20,0.05,1.0,50,5877.8,170.89,6051,5540,4.542,5403.8,5697.9,5808.6,5877.8
20,0.05,1.0,100,6059.3,109.92,6222,5888,8.881,5693.9,5875,5982.1,6057.6
20,0.05,1.0,200,6122.7,117.13,6252,5927,17.654,5935.6,6052.4,6097.2,6120.7
20,0.1,0.6,50,5744.4,166.47,6027,5521,4.482,5337,5550.4,5610.1,5744.4
20,0.1,0.6,100,5982.7,81.33,6095,5839,8.783,5577.2,5754.8,5892.6,5972.2
20,0.1,0.6,200,6108.2,84.31,6220,5979,18.408,5800.3,5997.4,6064.6,6108.2
20,0.1,0.8,50,5840.1,167.44,6168,5620,4.662,5234.8,5556.3,5678.2,5840.1
20,0.1,0.8,100,5943.4,139.33,6127,5757,8.91,5596,5764.3,5889.6,5943.4
20,0.1,0.8,200,6021.1,93.53,6149,5846,17.753,5767.5,5907.4,5971.2,6021.1
20,0.1,1.0,50,5713.9,111.03,5897,5488,4.468,5356.8,5556.8,5634,5700.8
20,0.1,1.0,100,5972.4,142.99,6262,5778,8.819,5634.6,5794.8,5877.5,5972.4
20,0.1,1.0,200,6110.1,123.27,6295,5869,17.875,5796.8,5985.4,6041.3,6107.8
20,0.2,0.6,50,5504.4,135.64,5731,5338,4.49,5194.9,5364.5,5472.6,5504.4
20,0.2,0.6,100,5664.1,98.78,5810,5496,8.899,5422,5546.4,5602.2,5664.1
20,0.2,0.6,200,5791,70.59,5914,5680,25.433,5535.3,5643.8,5779,5791
20,0.2,0.8,50,5568.9,130.57,5820,5313,7.093,5263,5396.9,5528,5568.9
20,0.2,0.8,100,5704.9,94.9,5842,5559,14.28,5455.2,5540.3,5603.2,5704.9
20,0.2,0.8,200,5777.4,75.97,5948,5683,28.351,5489,5637.8,5747.4,5777.4
20,0.2,1.0,50,5598.3,100.24,5779,5473,7.17,5205.7,5349.2,5493.1,5598.3
20,0.2,1.0,100,5660.4,112.67,5812,5492,14.224,5394.2,5535.9,5588,5660.4
20,0.2,1.0,200,5840.3,57.35,5920,5755,27.94,5656.3,5752.1,5779.6,5840.3
50,0.01,0.6,50,5983.5,135.79,6150,5771,17.697,5446,5792,5890.5,5980
50,0.01,0.6,100,6068.9,177.62,6405,5873,34.709,5758.8,5954.3,6049.7,6068.8
