memory_depth,strategy_length,run,score,runtime_s,conv_25pct,conv_50pct,conv_75pct,conv_100pct
3,67,1,2410,2.527,2252,2324,2369,2410
3,67,2,2459,2.638,2243,2346,2436,2459
3,67,3,2453,1.904,2174,2335,2373,2453
3,67,4,2414,1.794,2324,2329,2397,2409
3,67,5,2483,1.937,2350,2358,2408,2483
3,67,6,2430,1.762,2164,2318,2376,2424
3,67,7,2447,1.784,2275,2414,2426,2447
3,67,8,2376,1.958,2237,2330,2332,2376
3,67,9,2495,1.713,2237,2452,2465,2495
3,67,10,2398,1.771,2182,2258,2292,2398
4,260,1,2201,2.158,1930,2078,2148,2201
4,260,2,2174,1.963,2079,2093,2146,2174
4,260,3,2300,2.196,1989,2269,2271,2300
4,260,4,2226,2.055,2167,2199,2220,2226
4,260,5,2266,2.267,2091,2149,2194,2266
4,260,6,2203,2.265,1922,2166,2166,2203
4,260,7,2148,1.961,1911,1982,2082,2148
4,260,8,2150,2.105,1980,2064,2121,2150
4,260,9,2249,2.108,1918,2082,2146,2249
4,260,10,2310,1.963,1954,2119,2192,2310
5,1029,1,2002,2.417,1789,1943,1988,2002
5,1029,2,1981,2.321,1906,1926,1945,1981
5,1029,3,1954,2.408,1886,1904,1954,1954
5,1029,4,1958,2.219,1859,1942,1958,1958
5,1029,5,1986,2.435,1841,1870,1977,1986
5,1029,6,1972,2.294,1861,1948,1948,1972
5,1029,7,2028,3.193,1816,1942,1958,2028
5,1029,8,1967,2.895,1751,1840,1916,1967
5,1029,9,2042,2.594,1765,1919,1998,2042
5,1029,10,2028,2.797,1866,1960,1990,2028
