feature,avg_importance
table_coop_ratio,0.206218
bit_07,0.194217
coop_after_i_defect,0.055448
opening_coop_ratio,0.046134
coop_after_opp_coop,0.040101
bit_03,0.035989
bit_35,0.032864
open_2,0.02971
open_1,0.028935
coop_after_opp_defect,0.022112
coop_after_i_coop,0.019954
bit_39,0.018219
bit_00,0.015617
coop_after_mutual_def,0.013275
coop_after_mutual_coop,0.012363
bit_28,0.012141
bit_56,0.011108
bit_16,0.009412
bit_51,0.007769
bit_12,0.007502
bit_50,0.006711
bit_49,0.005584
bit_63,0.005232
bit_55,0.005182
bit_01,0.005162
bit_21,0.004828
bit_24,0.004759
bit_05,0.004713
bit_30,0.004513
bit_31,0.004424
bit_08,0.00437
open_0,0.004144
bit_09,0.004126
bit_36,0.003836
bit_37,0.003807
bit_06,0.003781
bit_02,0.003573
bit_54,0.003524
bit_17,0.003388
bit_33,0.003381
bit_38,0.003321
bit_10,0.003307
bit_45,0.003261
bit_18,0.003239
bit_20,0.003076
bit_48,0.003064
bit_23,0.003049
bit_53,0.002973
bit_44,0.002963
bit_34,0.002848
bit_40,0.002812
bit_27,0.002744
bit_15,0.0027
bit_22,0.002696
bit_46,0.002684
bit_13,0.002668
bit_26,0.002662
bit_52,0.002662
bit_47,0.002652
bit_11,0.002589
bit_19,0.002529
bit_25,0.002506
bit_59,0.002486
bit_58,0.002451
bit_61,0.002375
bit_41,0.002366
bit_14,0.002361
bit_60,0.002285
bit_29,0.002199
bit_57,0.002185
bit_62,0.002178
bit_32,0.002159
bit_04,0.002153
bit_42,0.001873
bit_43,0.001801
