feature,top_mean,bot_mean,diff,top_std,bot_std,cohens_d,abs_diff
bit_07,0.0,0.6429,-0.6429,0.0,0.4792,-1.8974,0.6429
bit_35,0.1071,0.5571,-0.45,0.3093,0.4967,-1.0876,0.45
open_1,0.1786,0.6143,-0.4357,0.383,0.4868,-0.9949,0.4357
bit_28,0.2214,0.6214,-0.4,0.4152,0.485,-0.886,0.4
bit_03,0.1286,0.5071,-0.3786,0.3347,0.4999,-0.8898,0.3786
bit_00,0.7714,0.4143,0.3571,0.4199,0.4926,0.7803,0.3571
open_2,0.1357,0.4857,-0.35,0.3425,0.4998,-0.817,0.35
bit_01,0.2429,0.5786,-0.3357,0.4288,0.4938,-0.726,0.3357
bit_39,0.2143,0.5143,-0.3,0.4103,0.4998,-0.6561,0.3
bit_30,0.3571,0.6286,-0.2714,0.4792,0.4832,-0.5641,0.2714
bit_33,0.2214,0.4857,-0.2643,0.4152,0.4998,-0.5752,0.2643
opening_coop_ratio,0.2762,0.5405,-0.2643,0.199,0.294,-1.0527,0.2643
bit_12,0.2786,0.5357,-0.2571,0.4483,0.4987,-0.5423,0.2571
bit_06,0.3,0.5286,-0.2286,0.4583,0.4992,-0.477,0.2286
bit_49,0.2857,0.5,-0.2143,0.4518,0.5,-0.4497,0.2143
bit_55,0.3643,0.5643,-0.2,0.4812,0.4959,-0.4093,0.2
bit_56,0.45,0.6429,-0.1929,0.4975,0.4792,-0.3949,0.1929
bit_32,0.3857,0.5714,-0.1857,0.4868,0.4949,-0.3784,0.1857
bit_61,0.4071,0.5929,-0.1857,0.4913,0.4913,-0.378,0.1857
bit_17,0.3429,0.5214,-0.1786,0.4747,0.4995,-0.3665,0.1786
bit_53,0.4,0.5786,-0.1786,0.4899,0.4938,-0.3631,0.1786
bit_41,0.3714,0.55,-0.1786,0.4832,0.4975,-0.3641,0.1786
bit_10,0.3214,0.5,-0.1786,0.467,0.5,-0.3691,0.1786
bit_50,0.3357,0.5071,-0.1714,0.4722,0.4999,-0.3525,0.1714
bit_24,0.4071,0.5786,-0.1714,0.4913,0.4938,-0.348,0.1714
bit_21,0.2786,0.45,-0.1714,0.4483,0.4975,-0.362,0.1714
bit_13,0.4,0.5571,-0.1571,0.4899,0.4967,-0.3185,0.1571
bit_18,0.4214,0.5786,-0.1571,0.4938,0.4938,-0.3182,0.1571
bit_52,0.4286,0.5857,-0.1571,0.4949,0.4926,-0.3183,0.1571
coop_after_opp_coop,0.3703,0.5228,-0.1525,0.0837,0.0815,-1.846,0.1525
bit_47,0.4143,0.5643,-0.15,0.4926,0.4959,-0.3035,0.15
coop_after_i_defect,0.3728,0.5176,-0.1449,0.0741,0.0785,-1.8972,0.1449
bit_27,0.3429,0.4786,-0.1357,0.4747,0.4995,-0.2785,0.1357
bit_42,0.35,0.4857,-0.1357,0.477,0.4998,-0.2778,0.1357
bit_04,0.35,0.4857,-0.1357,0.477,0.4998,-0.2778,0.1357
bit_48,0.4143,0.5429,-0.1286,0.4926,0.4982,-0.2595,0.1286
table_coop_ratio,0.4023,0.5244,-0.1221,0.054,0.052,-2.3034,0.1221
bit_05,0.4071,0.5286,-0.1214,0.4913,0.4992,-0.2452,0.1214
bit_40,0.4214,0.5429,-0.1214,0.4938,0.4982,-0.2448,0.1214
bit_57,0.3857,0.5071,-0.1214,0.4868,0.4999,-0.2461,0.1214
bit_36,0.3786,0.5,-0.1214,0.485,0.5,-0.2465,0.1214
bit_11,0.4571,0.5786,-0.1214,0.4982,0.4938,-0.2448,0.1214
bit_02,0.4214,0.5357,-0.1143,0.4938,0.4987,-0.2303,0.1143
bit_44,0.4286,0.5357,-0.1071,0.4949,0.4987,-0.2157,0.1071
bit_23,0.3929,0.4929,-0.1,0.4884,0.4999,-0.2023,0.1
coop_after_i_coop,0.4319,0.5312,-0.0993,0.0774,0.0769,-1.2875,0.0993
bit_31,0.5857,0.4929,0.0929,0.4926,0.4999,0.1871,0.0929
bit_19,0.4,0.4929,-0.0929,0.4899,0.4999,-0.1876,0.0929
coop_after_opp_defect,0.4344,0.5261,-0.0917,0.0839,0.0768,-1.1409,0.0917
bit_08,0.5214,0.4357,0.0857,0.4995,0.4959,0.1722,0.0857
bit_26,0.4214,0.5071,-0.0857,0.4938,0.4999,-0.1725,0.0857
bit_29,0.4214,0.5,-0.0786,0.4938,0.5,-0.1581,0.0786
bit_60,0.5,0.5786,-0.0786,0.5,0.4938,-0.1581,0.0786
coop_after_mutual_coop,0.4464,0.5228,-0.0763,0.1352,0.117,-0.6039,0.0763
bit_37,0.4429,0.5071,-0.0643,0.4967,0.4999,-0.129,0.0643
bit_38,0.4786,0.4143,0.0643,0.4995,0.4926,0.1296,0.0643
bit_25,0.4786,0.5429,-0.0643,0.4995,0.4982,-0.1289,0.0643
coop_after_mutual_def,0.4513,0.5125,-0.0612,0.1128,0.1146,-0.5379,0.0612
bit_14,0.5214,0.4643,0.0571,0.4995,0.4987,0.1145,0.0571
bit_54,0.5786,0.5286,0.05,0.4938,0.4992,0.1007,0.05
bit_09,0.4143,0.4643,-0.05,0.4926,0.4987,-0.1009,0.05
bit_46,0.4786,0.5286,-0.05,0.4995,0.4992,-0.1001,0.05
bit_22,0.4714,0.5143,-0.0429,0.4992,0.4998,-0.0858,0.0429
bit_62,0.4929,0.5357,-0.0429,0.4999,0.4987,-0.0858,0.0429
bit_63,0.5,0.4571,0.0429,0.5,0.4982,0.0859,0.0429
bit_20,0.5071,0.4643,0.0429,0.4999,0.4987,0.0858,0.0429
bit_59,0.4714,0.5071,-0.0357,0.4992,0.4999,-0.0715,0.0357
bit_45,0.4429,0.4786,-0.0357,0.4967,0.4995,-0.0717,0.0357
bit_51,0.4786,0.4429,0.0357,0.4995,0.4967,0.0717,0.0357
bit_43,0.5071,0.5357,-0.0286,0.4999,0.4987,-0.0572,0.0286
bit_16,0.4571,0.4857,-0.0286,0.4982,0.4998,-0.0573,0.0286
bit_34,0.5214,0.5429,-0.0214,0.4995,0.4982,-0.043,0.0214
bit_15,0.5429,0.5571,-0.0143,0.4982,0.4967,-0.0287,0.0143
open_0,0.5143,0.5214,-0.0071,0.4998,0.4995,-0.0143,0.0071
bit_58,0.5071,0.5143,-0.0071,0.4999,0.4998,-0.0143,0.0071
